Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Jean-Claude Billong,cm CMR,MF,Clermont Foot,28,1993,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,Ligue 1,2022-2023
El Bilal Touré,ml MLI,FW,Reims,20,2001,3,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,1,Ligue 1,2022-2023
Jason Berthomier,fr FRA,MF,Clermont Foot,32,1990,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,Ligue 1,2022-2023
Adil Aouchiche,fr FRA,MF,Lorient,20,2002,11,1,250,2.8,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,16,23,20,Ligue 1,2022-2023
Laurent Abergel,fr FRA,MF,Lorient,29,1993,29,28,2342,26.0,0,1,1,0,0,0,7,1,0.5,0.5,1.3,1.8,13,143,14,Ligue 1,2022-2023
Nathan Zeze,fr FRA,DF,Nantes,17,2005,1,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Ligue 1,2022-2023
Arber Zeneli,xk KVX,"FW,MF",Reims,27,1995,23,12,1000,11.1,0,2,2,0,0,0,0,0,2.1,2.1,3.1,5.2,45,51,118,Ligue 1,2022-2023
Mohamed Achi,fr FRA,FW,Nantes,20,2002,2,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,2,3,1,Ligue 1,2022-2023
João Victor,br BRA,DF,Nantes,24,1998,13,9,842,9.4,0,1,1,0,0,0,5,0,0.1,0.1,0.6,0.8,17,40,14,Ligue 1,2022-2023
Marco Verratti,it ITA,MF,Paris S-G,29,1992,29,27,2194,24.4,0,0,0,0,0,0,10,1,0.8,0.8,2.5,3.3,40,262,52,Ligue 1,2022-2023
Yan Valery,tn TUN,DF,Angers,23,1999,30,30,2497,27.7,0,0,0,0,0,0,3,0,0.8,0.8,1.9,2.7,72,84,74,Ligue 1,2022-2023
Jere Uronen,fi FIN,DF,Brest,28,1994,6,3,300,3.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,3,15,14,Ligue 1,2022-2023
Lesley Ugochukwu,fr FRA,MF,Rennes,18,2004,26,14,1330,14.8,0,1,1,0,0,0,3,1,0.9,0.9,0.8,1.8,11,50,11,Ligue 1,2022-2023
Theocharis Tsingaras,gr GRE,MF,Toulouse,21,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,Ligue 1,2022-2023
Adrien Truffert,fr FRA,DF,Rennes,20,2001,28,24,1954,21.7,0,6,6,0,0,0,1,0,0.6,0.6,1.5,2.2,55,89,166,Ligue 1,2022-2023
Théo Trinker,fr FRA,MF,Nice,21,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Ligue 1,2022-2023
Thierno Balde,fr FRA,"DF,MF",Troyes,20,2002,31,25,2153,23.9,0,1,1,0,0,0,1,0,0.3,0.3,1.1,1.4,66,60,118,Ligue 1,2022-2023
Cédric Bakambu,cd COD,MF,Marseille,31,1991,3,0,59,0.7,0,1,1,0,0,0,0,0,0.0,0.0,1.0,1.0,1,0,4,Ligue 1,2022-2023
Brandon Baiye,be BEL,MF,Clermont Foot,21,2000,7,0,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,0,Ligue 1,2022-2023
Paul Joly,fr FRA,DF,Auxerre,22,2000,10,10,867,9.6,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.5,19,41,48,Ligue 1,2022-2023
Dany Jean,ht HAI,"DF,MF",Strasbourg,19,2002,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,Ligue 1,2022-2023
Léo Jardim,br BRA,GK,Lille,27,1995,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Ligue 1,2022-2023
Marin Jakoliš,hr CRO,FW,Angers,25,1996,1,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,3,2,Ligue 1,2022-2023
Ismail Jakobs,sn SEN,"DF,FW",Monaco,22,1999,32,9,1119,12.4,0,2,2,0,0,0,3,0,1.0,1.0,1.5,2.5,39,46,109,Ligue 1,2022-2023
Bonke Innocent,ng NGA,MF,Lorient,26,1996,25,14,1182,13.1,0,1,1,0,0,0,5,0,0.1,0.1,0.3,0.4,3,31,0,Ligue 1,2022-2023
Martin Adeline,fr FRA,"MF,FW",Reims,18,2003,5,0,107,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,3,1,Ligue 1,2022-2023
Akim Zedadka,dz ALG,DF,Auxerre,27,1995,20,19,1599,17.8,0,0,0,0,0,0,5,0,0.4,0.4,1.3,1.6,25,51,71,Ligue 1,2022-2023
Oliver Zandén,se SWE,"DF,MF",Toulouse,20,2001,5,1,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,6,12,Ligue 1,2022-2023
