Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Adama Soumaoro,fr FRA,DF,Bologna,29,1992,28,26,2266,25.2,0,0,0,0,0,0,6,2,0.9,0.9,0.0,0.9,16,61,10,Serie A,2021-2022
Matìas Soulé,ar ARG,FW,Juventus,18,2003,2,0,5,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,1,Serie A,2021-2022
Roberto Soriano,it ITA,MF,Bologna,30,1991,35,32,2622,29.1,0,4,4,0,0,0,6,2,2.1,2.1,4.8,6.9,48,134,145,Serie A,2021-2022
Brandon Soppy,fr FRA,"DF,MF",Udinese,19,2002,28,7,777,8.6,0,0,0,0,0,0,4,0,0.4,0.4,0.2,0.7,25,17,50,Serie A,2021-2022
Andreas Skov Olsen,dk DEN,"FW,DF",Bologna,21,1999,18,6,747,8.3,0,2,2,0,0,0,0,0,0.9,0.9,0.4,1.2,29,19,52,Serie A,2021-2022
Łukasz Skorupski,pl POL,GK,Bologna,30,1991,36,36,3240,36.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Leo Skiri Østigård,no NOR,DF,Genoa,21,1999,15,13,1172,13.0,0,0,0,0,0,0,4,2,0.3,0.3,0.2,0.5,10,38,2,Serie A,2021-2022
Salvatore Sirigu,it ITA,GK,Genoa,34,1987,37,37,3330,37.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Giovanni Simeone,ar ARG,FW,Cagliari,26,1995,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,Serie A,2021-2022
Marco Silvestri,it ITA,GK,Udinese,30,1991,35,35,3150,35.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Adrien Silva,pt POR,MF,Sampdoria,32,1989,17,12,1083,12.0,0,1,1,0,0,0,3,1,0.3,0.3,0.4,0.7,14,57,14,Serie A,2021-2022
Wojciech Szczęsny,pl POL,GK,Juventus,31,1990,33,33,2970,33.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,1,Serie A,2021-2022
Michael Svoboda,at AUT,DF,Venezia,22,1998,18,13,1236,13.7,0,0,0,0,0,0,2,1,1.1,1.1,0.0,1.1,11,42,1,Serie A,2021-2022
Bosko Sutalo,hr CRO,DF,Hellas Verona,21,2000,24,6,920,10.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,15,33,17,Serie A,2021-2022
Vladyslav Supriaha,ua UKR,FW,Sampdoria,21,2000,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Marco Benassi,it ITA,MF,Empoli,26,1994,12,3,382,4.2,0,0,0,0,0,0,1,0,0.9,0.9,0.5,1.4,13,23,29,Serie A,2021-2022
Marco Benassi,it ITA,"DF,MF",Fiorentina,26,1994,6,1,158,1.8,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,11,6,Serie A,2021-2022
Vid Belec,si SVN,GK,Salernitana,31,1990,23,21,1938,21.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Valon Behrami,ch SUI,"MF,FW",Genoa,36,1985,10,2,311,3.5,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,2,8,4,Serie A,2021-2022
Toma Bašić,hr CRO,MF,Lazio,24,1996,29,9,982,10.9,0,2,2,0,0,0,3,0,1.6,1.6,0.9,2.5,18,26,44,Serie A,2021-2022
Daniele Baselli,it ITA,MF,Cagliari,29,1992,9,2,290,3.2,0,1,1,0,0,0,1,0,0.5,0.5,0.7,1.2,4,14,5,Serie A,2021-2022
Daniele Baselli,it ITA,"MF,FW",Torino,29,1992,6,0,150,1.7,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.8,1,10,11,Serie A,2021-2022
Francesco Bardi,it ITA,GK,Bologna,29,1992,2,2,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Stefano Sturaro,it ITA,MF,Genoa,28,1993,25,24,1766,19.6,0,0,0,0,0,0,12,0,0.5,0.5,0.8,1.3,10,62,53,Serie A,2021-2022
Jens Stryger Larsen,dk DEN,DF,Udinese,30,1991,11,8,684,7.6,0,1,1,0,0,0,0,0,0.5,0.5,0.8,1.3,8,16,20,Serie A,2021-2022
Kevin Strootman,nl NED,MF,Cagliari,31,1990,10,7,640,7.1,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,6,38,6,Serie A,2021-2022
Stefan Strandberg,no NOR,DF,Salernitana,31,1990,11,11,933,10.4,0,0,0,0,0,0,2,1,0.4,0.4,0.3,0.8,8,53,1,Serie A,2021-2022
Antonio Vacca,it ITA,MF,Venezia,31,1990,21,15,1064,11.8,0,0,0,0,0,0,5,0,0.0,0.0,0.3,0.3,9,56,7,Serie A,2021-2022
Kacper Urbanski,pl POL,MF,Bologna,16,2004,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,Serie A,2021-2022
Maximilian Ullmann,at AUT,DF,Venezia,25,1996,5,2,246,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,4,Serie A,2021-2022
Axel Tuanzebe,cd COD,DF,Napoli,23,1997,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,Serie A,2021-2022
Simone Trimboli,it ITA,MF,Sampdoria,19,2002,5,0,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,2,6,4,Serie A,2021-2022
Abdoulaye Touré,gn GUI,MF,Genoa,27,1994,8,6,430,4.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,2,17,4,Serie A,2021-2022
Ernesto Torregrossa,ve VEN,FW,Sampdoria,29,1992,10,0,116,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,4,14,Serie A,2021-2022
Lorenzo Tonelli,it ITA,DF,Empoli,31,1990,14,8,870,9.7,0,0,0,0,0,0,4,0,0.4,0.4,0.3,0.7,7,43,3,Serie A,2021-2022
Fikayo Tomori,eng ENG,DF,Milan,23,1997,31,30,2718,30.2,0,0,0,0,0,0,4,0,1.1,1.1,0.1,1.2,14,82,5,Serie A,2021-2022
Takehiro Tomiyasu,jp JPN,DF,Bologna,22,1998,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,Serie A,2021-2022
Jeremy Toljan,de GER,DF,Sassuolo,26,1994,20,15,1399,15.5,0,1,1,0,0,0,2,0,0.1,0.1,1.3,1.4,36,53,78,Serie A,2021-2022
Tanner Tessmann,us USA,MF,Venezia,19,2001,20,6,680,7.6,0,0,0,0,0,0,1,1,0.6,0.6,0.1,0.8,12,23,18,Serie A,2021-2022
Aleksa Terzić,rs SRB,DF,Fiorentina,21,1999,14,1,274,3.0,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,10,13,23,Serie A,2021-2022
Pietro Terracciano,it ITA,GK,Fiorentina,31,1990,32,31,2862,31.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,Serie A,2021-2022
Filippo Terracciano,it ITA,DF,Hellas Verona,18,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,Serie A,2021-2022
Ciprian Tătărușanu,ro ROU,GK,Milan,35,1986,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Wladimiro Falcone,it ITA,GK,Sampdoria,26,1995,10,9,855,9.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Diego Falcinelli,it ITA,FW,Bologna,30,1991,6,0,66,0.7,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,1,2,9,Serie A,2021-2022
Gonzalo Escalante,ar ARG,MF,Lazio,28,1993,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Cristian Ansaldi,ar ARG,DF,Torino,34,1986,19,5,691,7.7,0,3,3,0,0,0,2,0,0.3,0.3,2.1,2.4,24,41,40,Serie A,2021-2022
Petar Zovko,ba BIH,GK,Spezia,19,2002,1,0,29,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Guglielmo Vicario,it ITA,GK,Empoli,24,1996,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Jeroen Zoet,nl NED,GK,Spezia,30,1991,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Stefan de Vrij,nl NED,DF,Inter,29,1992,30,28,2410,26.8,0,0,0,0,0,0,3,0,2.6,2.6,0.0,2.6,15,72,1,Serie A,2021-2022
Mërgim Vojvoda,xk KVX,DF,Torino,26,1995,29,22,1976,22.0,0,3,3,0,0,0,3,0,1.2,1.2,2.3,3.5,44,114,87,Serie A,2021-2022
Mattia Viti,it ITA,DF,Empoli,19,2002,20,16,1491,16.6,0,0,0,0,0,0,3,1,0.4,0.4,0.0,0.4,10,45,3,Serie A,2021-2022
Nicolas Viola,it ITA,MF,Bologna,31,1989,6,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,Serie A,2021-2022
Mattia Bani,it ITA,DF,Genoa,27,1993,17,13,1211,13.5,0,0,0,0,0,0,1,0,1.1,1.1,0.1,1.1,1,24,1,Serie A,2021-2022
Fodé Ballo-Touré,sn SEN,DF,Milan,24,1997,10,5,446,5.0,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,17,20,48,Serie A,2021-2022
Freddie Veseli,al ALB,DF,Salernitana,28,1992,9,8,596,6.6,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,2,12,5,Serie A,2021-2022
Valerio Verre,it ITA,MF,Empoli,27,1994,8,4,310,3.4,0,1,1,0,0,0,2,1,0.6,0.6,0.6,1.2,14,25,23,Serie A,2021-2022
